ref_area,indicator,source,sex,classif1,time,obs_value,obs_status
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_F,AGE_AGGREGATE_TOTAL,2012,55.86,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_T,AGE_AGGREGATE_TOTAL,2013,62.21,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_M,AGE_AGGREGATE_TOTAL,2013,68.47,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_F,AGE_AGGREGATE_TOTAL,2013,56.24,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_T,AGE_AGGREGATE_TOTAL,2014,62.31,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_M,AGE_AGGREGATE_TOTAL,2014,68.35,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_F,AGE_AGGREGATE_TOTAL,2014,56.54,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_T,AGE_AGGREGATE_TOTAL,2015,62.37,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_M,AGE_AGGREGATE_TOTAL,2015,68.3,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_F,AGE_AGGREGATE_TOTAL,2015,56.69,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_T,AGE_AGGREGATE_TOTAL,2016,62.51,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_M,AGE_AGGREGATE_TOTAL,2016,68.32,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_F,AGE_AGGREGATE_TOTAL,2016,56.95,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_T,AGE_AGGREGATE_TOTAL,2017,62.51,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_M,AGE_AGGREGATE_TOTAL,2017,67.99,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_F,AGE_AGGREGATE_TOTAL,2017,57.26,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_T,AGE_AGGREGATE_TOTAL,2018,62.75,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_M,AGE_AGGREGATE_TOTAL,2018,68.14,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_F,AGE_AGGREGATE_TOTAL,2018,57.57,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_T,AGE_AGGREGATE_TOTAL,2019,62.97,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_M,AGE_AGGREGATE_TOTAL,2019,68.04,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_F,AGE_AGGREGATE_TOTAL,2019,58.09,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_T,AGE_AGGREGATE_TOTAL,2020,62.78,
