ref_area,indicator,source,sex,classif1,classif2,time,obs_value,obs_status,note_classif,note_indicator,note_source
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_TOTAL,2013,43.94,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SGLE,2013,27.82,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_MRD,2013,53.79,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_WID,2013,21.64,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SEP,2013,50.3,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_TOTAL,2014,43.98,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SGLE,2014,31.75,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_MRD,2014,53.07,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_WID,2014,15.78,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SEP,2014,58.26,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_TOTAL,2015,47.04,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SGLE,2015,32.2,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_MRD,2015,56.75,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_WID,2015,18.24,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SEP,2015,72.67,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_TOTAL,2016,49.73,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SGLE,2016,37.21,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_MRD,2016,59.16,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_WID,2016,18.87,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SEP,2016,63.79,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_TOTAL,2017,49.57,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SGLE,2017,35.36,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_MRD,2017,59.51,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_WID,2017,20.57,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SEP,2017,61.64,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_X,2017,49.35,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_TOTAL,2018,51.32,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SGLE,2018,39.15,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_MRD,2018,61.21,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_WID,2018,18.76,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SEP,2018,67.27,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_TOTAL,2019,52.87,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SGLE,2019,41.46,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_MRD,2019,62.84,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_WID,2019,17.89,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BA:480,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SEP,2019,72.06,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BB:7401,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_TOTAL,2012,27.11,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BB:7401,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SGLE,2012,21.46,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BB:7401,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_MRD,2012,31.32,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BB:7401,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_UNION,2012,45.34,U,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BB:7401,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_WID,2012,9.55,,,,R1:3513
ALB,EAP_DWAP_SEX_AGE_MTS_RT,BB:7401,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SEP,2012,55.31,,,,R1:3513
ARE,EAP_DWAP_SEX_AGE_MTS_RT,BA:716,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_TOTAL,2017,52.64,B,,I11:264,R1:3513
ARE,EAP_DWAP_SEX_AGE_MTS_RT,BA:716,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SGLE,2017,61.93,B,,I11:264,R1:3513
ARE,EAP_DWAP_SEX_AGE_MTS_RT,BA:716,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_MRD,2017,90.28,B,,I11:264,R1:3513
ARE,EAP_DWAP_SEX_AGE_MTS_RT,BA:716,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_WID,2017,78.06,B,,I11:264,R1:3513
ARE,EAP_DWAP_SEX_AGE_MTS_RT,BA:716,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SEP,2017,48.51,B,,I11:264,R1:3513
ARE,EAP_DWAP_SEX_AGE_MTS_RT,BA:716,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_X,2017,26.34,B,,I11:264,R1:3513
ARE,EAP_DWAP_SEX_AGE_MTS_RT,BA:716,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_TOTAL,2018,49.61,,,,R1:3513
ARE,EAP_DWAP_SEX_AGE_MTS_RT,BA:716,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SGLE,2018,59.6,,,,R1:3513
ARE,EAP_DWAP_SEX_AGE_MTS_RT,BA:716,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_MRD,2018,44.92,,,,R1:3513
ARE,EAP_DWAP_SEX_AGE_MTS_RT,BA:716,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_WID,2018,27.17,,,,R1:3513
ARE,EAP_DWAP_SEX_AGE_MTS_RT,BA:716,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SEP,2018,69.82,,,,R1:3513
ARE,EAP_DWAP_SEX_AGE_MTS_RT,BA:716,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_TOTAL,2019,57.47,,,,R1:3513
ARE,EAP_DWAP_SEX_AGE_MTS_RT,BA:716,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SGLE,2019,65.78,,,,R1:3513
ARE,EAP_DWAP_SEX_AGE_MTS_RT,BA:716,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_MRD,2019,53.65,,,,R1:3513
ARE,EAP_DWAP_SEX_AGE_MTS_RT,BA:716,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_WID,2019,34.02,,,,R1:3513
ARE,EAP_DWAP_SEX_AGE_MTS_RT,BA:716,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SEP,2019,79.23,,,,R1:3513
ARE,EAP_DWAP_SEX_AGE_MTS_RT,BA:716,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_X,2019,,U,,,R1:3513
ARG,EAP_DWAP_SEX_AGE_MTS_RT,BA:150,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_TOTAL,2004,50.31,B,,I11:264,R1:3513_S4:33
ARG,EAP_DWAP_SEX_AGE_MTS_RT,BA:150,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SGLE,2004,52.51,B,,I11:264,R1:3513_S4:33
ARG,EAP_DWAP_SEX_AGE_MTS_RT,BA:150,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_MRD,2004,48.46,B,,I11:264,R1:3513_S4:33
ARG,EAP_DWAP_SEX_AGE_MTS_RT,BA:150,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_UNION,2004,58.36,B,,I11:264,R1:3513_S4:33
ARG,EAP_DWAP_SEX_AGE_MTS_RT,BA:150,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_WID,2004,20.7,B,,I11:264,R1:3513_S4:33
